Empresa_transp,Punto_dist,Id_camion,cajas_entrega,Tiempo_despacho
Transporte_Norte,1,4,1126,38
Transporte_Norte,2,1,1241,48
Transporte_Norte,3,5,1380,42
Transporte_Norte,4,4,1382,34
Transporte_Norte,5,2,1139,51
Transporte_Norte,6,4,1264,37
Transporte_Norte,7,2,1236,54
Transporte_Norte,8,1,1416,35
Transporte_Norte,9,4,1324,40
Transporte_Norte,10,5,1390,42
Transporte_Norte,11,1,1307,34
Transporte_Norte,12,5,1415,35
Transporte_Norte,13,4,1310,45
Transporte_Norte,14,1,1168,35
Transporte_Norte,15,3,1266,50
Transporte_Norte,16,4,1169,34
Transporte_Norte,17,3,1162,34
Transporte_Norte,18,1,1376,38
Transporte_Norte,19,2,1303,55
Transporte_Norte,20,4,1162,50
Transporte_Norte,21,2,1357,42
Transporte_Norte,22,3,1427,41
Transporte_Norte,23,1,1141,35
Transporte_Norte,24,4,1180,32
Transporte_Norte,25,3,1363,44
Transporte_Norte,26,1,1172,43
Transporte_Norte,27,5,1341,38
Transporte_Norte,28,2,1296,54
Transporte_Norte,29,1,1435,44
Transporte_Norte,30,2,1177,37
Transporte_Monky,1,1,83,11
Transporte_Monky,2,4,86,10
Transporte_Monky,3,4,93,15
Transporte_Monky,4,4,81,11
Transporte_Monky,5,4,85,11
Transporte_Monky,6,4,95,14
Transporte_Monky,7,2,93,11
Transporte_Monky,8,4,83,15
Transporte_Monky,9,2,83,12
Transporte_Monky,10,3,87,13
Transporte_Monky,11,3,95,14
Transporte_Monky,12,1,82,12
Transporte_Monky,13,1,85,12
Transporte_Monky,14,3,82,10
Transporte_Monky,15,2,85,10
Transporte_Monky,16,1,92,11
Transporte_Monky,17,2,81,14
Transporte_Monky,18,3,86,13
Transporte_Monky,19,4,86,15
Transporte_Monky,20,4,91,13
